Address,CategoryID,Category,City,Customer Company,Shippers Company,Customer,Country,EmployeeID,Fax,OrderDate,OrderID,Phone,PostalCode,ProductID,Product,ShipperID,StateProvince,SupplierID,Discount,Freight,Quantity,QuantityPerUnit,UnitCost,UnitPrice,UnitPrice (Products),UnitsInStock,UnitsOnOrder,Sales,Profit,City and Counry
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,3,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Италия,2,(9) 331-7256,15.01.2004,10357,(9) 331-6954,3508,26,Пирожное Восточное,2,,11,0,"65,97",16,1,"26,13","29,44","31,23",15,0,"471,04","52,96","Баргусимето, Италия"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,3,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Канада,2,(9) 331-7256,15.01.2004,10357,(9) 331-6954,3508,60,Сладкий снек,2,,28,"0,2","65,97",8,53,"4,44","4,86",5,19,0,"38,88","3,36","Баргусимето, Канада"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,8,Приправы,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Мексика,2,(9) 331-7256,15.01.2004,10357,(9) 331-6954,3508,10,Кориандр,2,,4,"0,2","65,97",30,20,"6,2","6,51",7,31,0,"195,3","9,3","Баргусимето, Мексика"
Taucherstra?e 10,3,Кондитерские изделия,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Норвегия,8,,17.01.2004,10286,0372-035188,1307,62,Шоколад Молочное Чудо,2,,29,0,"42,17",40,30,"25,39","30,28","29,3",17,0,"1211,2","195,6","Кюневальд, Норвегия"
Taucherstra?e 10,4,Молочные продукты,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Польша,8,,17.01.2004,10286,0372-035188,1307,35,Творожный сырок,2,,16,0,"42,17",100,14,"5,17","6,06",6,20,0,606,89,"Кюневальд, Польша"
"Av. Copacabana, 267",3,Кондитерские изделия,Рио де Жанейро,Минидисконт,ТрансАвтоГруз,Thom? Lindao,Португалия,2,,18.01.2004,10287,(21) 555-3412,02389-890,16,Печенье сдобное,2,,7,"0,15","70,97",40,24,"7,33","8,88","9,45",29,0,"355,2",62,"Рио де Жанейро, Португалия"
"Av. Copacabana, 267",4,Молочные продукты,Рио де Жанейро,Минидисконт,ТрансАвтоГруз,Thom? Lindao,США,2,,18.01.2004,10287,(21) 555-3412,02389-890,34,Кефир,2,,16,0,"70,97",20,12,"6,76","7,67",8,111,0,"153,4","18,2","Рио де Жанейро, США"
"Av. Copacabana, 267",8,Приправы,Рио де Жанейро,Минидисконт,ТрансАвтоГруз,Thom? Lindao,Финляндия,2,,18.01.2004,10287,(21) 555-3412,02389-890,46,Укроп,2,,21,"0,15","70,97",15,40,"9,07","12,23",12,95,0,"183,45","47,4","Рио де Жанейро, Финляндия"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,1,Фрукты,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Франция,2,(9) 331-7256,02.02.2004,10296,(9) 331-6954,3508,11,Киви,2,,5,0,"22,4",12,25,"21,1","26,62",28,22,30,"319,44","66,24","Баргусимето, Франция"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,3,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Швейцария,2,(9) 331-7256,02.02.2004,10296,(9) 331-6954,3508,16,Печенье сдобное,2,,7,0,"22,4",30,24,"7,33","9,36","9,45",29,0,"280,8","60,9","Баргусимето, Швейцария"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,3,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Швеция,2,(9) 331-7256,02.02.2004,10296,(9) 331-6954,3508,69,Булка-улитка,2,,15,0,"22,4",15,100,"1,65","1,89",2,26,0,"28,35","3,6","Баргусимето, Швеция"
5? Ave. Los Palos Grandes,2,Овощи,Каракас,Венесуэльские продукты,ТрансАвтоГруз,Antonio Palmer Amer,Венесуэла,3,(2) 283-3397,25.02.2004,10268,(2) 283-2951,1081,72,Перец болгарский,2,,14,0,"69,28",4,30,"8,96","12,64","11,8",14,0,"50,56","14,72","Каракас, Венесуэла"
5? Ave. Los Palos Grandes,6,Морепродукты,Каракас,Венесуэльские продукты,ТрансАвтоГруз,Antonio Palmer Amer,Венесуэла,3,(2) 283-3397,25.02.2004,10268,(2) 283-2951,1081,29,Креветки,2,,12,0,"69,28",10,1,"100,74","117,3","123,79",0,0,1173,"165,6","Каракас, Венесуэла"
Berguvsv?gen 8,2,Овощи,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2,0921-12 34 67,09.03.2004,10278,0921-12 34 65,S-958 22,63,Кабачок,2,,7,0,"50,46",8,68,"15,9","21,02","19,9",24,0,"168,16","40,96","Лулеа, Швеция"
Berguvsv?gen 8,2,Овощи,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2,0921-12 34 67,09.03.2004,10278,0921-12 34 65,S-958 22,44,Батат,2,,20,0,"50,46",16,7,"67,17","80,78","75,45",27,0,"1292,48","217,76","Лулеа, Швеция"
Berguvsv?gen 8,3,Кондитерские изделия,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2,0921-12 34 67,09.03.2004,10278,0921-12 34 65,S-958 22,59,Чупа-Чупс,2,,28,0,"50,46",15,105,"6,69","8,57","8,5",79,0,"128,55","28,2","Лулеа, Швеция"
Berguvsv?gen 8,8,Приправы,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2,0921-12 34 67,09.03.2004,10278,0921-12 34 65,S-958 22,73,Лавровый лист,2,,17,0,"50,46",25,100,"0,89","1,07","1,1",101,0,"26,75","4,5","Лулеа, Швеция"
"Rua da Panificadora, 12",2,Овощи,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2,(21) 555-4545,24.03.2004,10291,(21) 555-4252,02389-673,44,Батат,2,,20,"0,1","21,08",24,7,"67,17","82,68","75,45",27,0,"1984,32","372,24","Рио де Жанейро, Бразилия"
"Rua da Panificadora, 12",6,Морепродукты,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2,(21) 555-4545,24.03.2004,10291,(21) 555-4252,02389-673,51,Мидии,2,,24,"0,1","21,08",2,10,"82,74","106,56","99,9",20,0,"213,12","47,64","Рио де Жанейро, Бразилия"
"Rua da Panificadora, 12",8,Приправы,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2,(21) 555-4545,24.03.2004,10291,(21) 555-4252,02389-673,13,Корица,2,,6,"0,1","21,08",20,25,"21,11","23,03",25,24,0,"460,6","38,4","Рио де Жанейро, Бразилия"
8 Johnstown Road,1,Фрукты,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2,########,02.04.2004,10298,2 967 542,125 80,2,Апельсин,2,,1,0,"78,52",40,10,"16,17","17,54",19,17,40,"701,6","54,8","Корк, Ирландия"
8 Johnstown Road,3,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2,########,02.04.2004,10298,2 967 542,125 80,59,Чупа-Чупс,2,,28,"0,25","78,52",30,105,"6,69","9,15","8,5",79,0,"274,5","73,8","Корк, Ирландия"
8 Johnstown Road,3,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2,########,02.04.2004,10298,2 967 542,125 80,62,Шоколад Молочное Чудо,2,,29,0,"78,52",15,30,"25,39",28,"29,3",17,0,420,"39,15","Корк, Ирландия"
8 Johnstown Road,8,Приправы,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2,########,02.04.2004,10298,2 967 542,125 80,36,Тмин,2,,17,"0,25","78,52",40,20,"6,45","7,34",8,112,0,"293,6","35,6","Корк, Ирландия"
Via Ludovico il Moro 22,2,Овощи,Бергамо,Караван,ТрансСервис,Luca Brassi,Италия,6,035-640231,06.04.2004,10300,035-640230,24100,66,Цветная капуста,1,,2,0,"71,44",30,15,"16,58","19,89",19,4,100,"596,7","99,3","Бергамо, Италия"
Via Ludovico il Moro 22,3,Кондитерские изделия,Бергамо,Караван,ТрансСервис,Luca Brassi,Италия,6,035-640231,06.04.2004,10300,035-640230,24100,68,Сладкий батончик,1,,8,0,"71,44",20,1,"9,67","11,27","12,5",6,10,"225,4",32,"Бергамо, Италия"
Avda. Azteca 123,8,Приправы,Мехико,Дон Педро,АвтоЛогистика,Peloto Gomez,Мексика,1,,05.05.2004,10276,(5) 555-2933,5033,10,Кориандр,3,,4,0,"22,95",15,20,"6,2","6,92",7,31,0,"103,8","10,8","Мехико, Мексика"
Avda. Azteca 123,8,Приправы,Мехико,Дон Педро,АвтоЛогистика,Peloto Gomez,Мексика,1,,05.05.2004,10276,(5) 555-2933,5033,13,Корица,3,,6,0,"22,95",10,25,"21,11","27,45",25,24,0,"274,5","63,4","Мехико, Мексика"
Obere Str. 57,6,Морепродукты,Берлин,Копейка,ТрансАвтоГруз,Albert von Einstein,Германия,8,030-0076545,22.05.2004,10338,030-0074321,12209,17,Кальмары,2,,7,0,"52,33",20,36,"19,35","26,24",25,0,0,"524,8","137,8","Берлин, Германия"
Obere Str. 57,8,Приправы,Берлин,Копейка,ТрансАвтоГруз,Albert von Einstein,Германия,8,030-0076545,22.05.2004,10338,030-0074321,12209,30,Прованские травы,2,,13,0,"52,33",15,1,"22,71","25,4","25,89",10,0,381,"40,35","Берлин, Германия"
43 rue St. Laurent,2,Овощи,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,1,(514) 555-8055,25.05.2004,10339,(514) 555-8054,H1J 1C3,4,Огурец,3,QC,2,0,"58,76",10,15,"19,34","21,32",22,53,0,"213,2","19,8","Монреаль, Канада"
43 rue St. Laurent,3,Кондитерские изделия,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,1,(514) 555-8055,25.05.2004,10339,(514) 555-8054,H1J 1C3,62,Шоколад Молочное Чудо,3,QC,29,0,"58,76",28,30,"25,39","30,61","29,3",17,0,"857,08","146,16","Монреаль, Канада"
43 rue St. Laurent,6,Морепродукты,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,1,(514) 555-8055,25.05.2004,10339,(514) 555-8054,H1J 1C3,17,Кальмары,3,QC,7,"0,05","58,76",70,36,"19,35","24,46",25,0,0,"1712,2","357,7","Монреаль, Канада"
"Suite 3B""",2,Овощи,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2,(206) 555-4115,29.05.2004,10344,(206) 555-4112,98128,4,Огурец,2,WA,2,0,"22,69",35,15,"19,34","20,78",22,53,0,"727,3","50,4","Сиэттл, США"
"Suite 3B""",2,Овощи,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2,(206) 555-4115,29.05.2004,10344,(206) 555-4112,98128,8,Картофель Сорт 1,2,WA,3,"0,25","22,69",70,20,"16,14","19,4",20,6,0,1358,"228,2","Сиэттл, США"
"Rua Or?s, 92",1,Фрукты,Сан Паоло,Овощной базар,ТрансАвтоГруз,Romario do Sauza,Бразилия,2,,03.06.2004,10347,(11) 555-9857,05442-030,75,Хурма,2,,12,"0,15","28,29",6,1,"6,61","7,75","7,75",125,0,"46,5","6,84","Сан Паоло, Бразилия"
"Rua Or?s, 92",2,Овощи,Сан Паоло,Овощной базар,ТрансАвтоГруз,Romario do Sauza,Бразилия,2,,03.06.2004,10347,(11) 555-9857,05442-030,39,Кукуруза,2,,18,"0,15","28,29",50,3,"48,17","58,72",60,69,0,2936,"527,5","Сан Паоло, Бразилия"
"Rua Or?s, 92",3,Кондитерские изделия,Сан Паоло,Овощной базар,ТрансАвтоГруз,Romario do Sauza,Бразилия,2,,03.06.2004,10347,(11) 555-9857,05442-030,25,Пирожное Медовик,2,,11,0,"28,29",10,1,"10,85","13,21",14,76,0,"132,1","23,6","Сан Паоло, Бразилия"
"Rua Or?s, 92",8,Приправы,Сан Паоло,Овощной базар,ТрансАвтоГруз,Romario do Sauza,Бразилия,2,,03.06.2004,10347,(11) 555-9857,05442-030,40,Имбирь,2,,19,0,"28,29",4,1,"16,34",17,"18,4",123,0,68,"2,64","Сан Паоло, Бразилия"
1900 Oak St.,2,Овощи,Ванкувер,Милелниум,АвтоЛогистика,Joe Barry,Канада,1,(604) 555-7293,08.06.2004,10351,(604) 555-3392,V3F 2K1,65,Чеснок,3,BC,2,"0,05","65,12",10,40,"8,68","10,08","10,05",76,0,"100,8",14,"Ванкувер, Канада"
1900 Oak St.,2,Овощи,Ванкувер,Милелниум,АвтоЛогистика,Joe Barry,Канада,1,(604) 555-7293,08.06.2004,10351,(604) 555-3392,V3F 2K1,38,Баклажан,3,BC,18,"0,05","65,12",20,4,"62,38","75,04","80,5",17,0,"1500,8","253,2","Ванкувер, Канада"
1900 Oak St.,2,Овощи,Ванкувер,Милелниум,АвтоЛогистика,Joe Barry,Канада,1,(604) 555-7293,08.06.2004,10351,(604) 555-3392,V3F 2K1,44,Батат,3,BC,20,"0,05","65,12",77,7,"67,17","73,74","75,45",27,0,"5677,98","505,89","Ванкувер, Канада"
1900 Oak St.,8,Приправы,Ванкувер,Милелниум,АвтоЛогистика,Joe Barry,Канада,1,(604) 555-7293,08.06.2004,10351,(604) 555-3392,V3F 2K1,41,Зира,3,BC,19,0,"65,12",13,1,"7,28","10,42","9,65",85,0,"135,46","40,82","Ванкувер, Канада"
Magazinweg 7,3,Кондитерские изделия,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,8,069-0245874,22.06.2004,10362,069-0245984,60528,25,Пирожное Медовик,2,,11,0,"40,91",50,1,"10,85","15,04",14,76,0,752,"209,5","Франкфурт, Германия"
Magazinweg 7,3,Кондитерские изделия,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,8,069-0245874,22.06.2004,10362,069-0245984,60528,54,Десерт медовый,2,,25,0,"40,91",24,24,"30,27","37,07","35,45",21,0,"889,68","163,2","Франкфурт, Германия"
Magazinweg 7,6,Морепродукты,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,8,069-0245874,22.06.2004,10362,069-0245984,60528,51,Мидии,2,,24,0,"40,91",20,10,"82,74","109,79","99,9",20,0,"2195,8",541,"Франкфурт, Германия"
35 King George,1,Фрукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2,(171) 555-3373,23.06.2004,10364,(171) 555-0297,WX1 6LT,71,Персик,2,,15,0,"33,65",5,10,"26,49","29,73","30,5",26,0,"148,65","16,2","Лондон, Англия"
35 King George,3,Кондитерские изделия,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2,(171) 555-3373,23.06.2004,10364,(171) 555-0297,WX1 6LT,69,Булка-улитка,2,,15,0,"33,65",30,100,"1,65","2,05",2,26,0,"61,5",12,"Лондон, Англия"
C/ Ritual de lo Habitual 2312,1,Фрукты,Мехико,Перекресток,ТрансАвтоГруз,Sancho Panza,Мексика,2,,24.06.2004,10365,(5) 555-3932,5023,11,Киви,2,,5,0,"35,04",24,25,"21,1","29,48",28,22,30,"707,52","201,12","Мехико, Мексика"
"Rambla de Catalu?a, 23",2,Овощи,Барселона,Магазин распродаж,ТрансСервис,Jusep del pep,Испания,4,(93) 203 4561,25.06.2004,10366,(93) 203 4560,8022,65,Чеснок,1,,2,0,"23,84",5,40,"8,68","9,12","10,05",76,0,"45,6","2,2","Барселона, Испания"
"Rambla de Catalu?a, 23",2,Овощи,Барселона,Магазин распродаж,ТрансСервис,Jusep del pep,Испания,4,(93) 203 4561,25.06.2004,10366,(93) 203 4560,8022,77,Свекла,1,,12,0,"23,84",5,1,"10,95","12,71",13,32,0,"63,55","8,8","Барселона, Испания"
Vinb?ltet 34,3,Кондитерские изделия,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,3,31 13 35 57,26.06.2004,10368,31 12 34 56,1734,21,Пирожное Наполеон,2,,8,"0,1","67,63",5,1,"8,78","10,53",10,3,40,"52,65","8,75","Копенгаген, Дания"
Vinb?ltet 34,5,Мясо/Птица,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,3,31 13 35 57,26.06.2004,10368,31 12 34 56,1734,64,Фарш говяжий,2,,12,"0,1","67,63",35,1,"29,25","32,34","33,25",22,80,"1131,9","108,15","Копенгаген, Дания"
Vinb?ltet 34,5,Мясо/Птица,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,3,31 13 35 57,26.06.2004,10368,31 12 34 56,1734,57,Фарш свиной,2,,26,0,"67,63",25,20,"16,14","18,05","19,5",36,0,"451,25","47,75","Копенгаген, Дания"
Vinb?ltet 34,7,Крупы,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,3,31 13 35 57,26.06.2004,10368,31 12 34 56,1734,28,Рис,2,,12,"0,1","67,63",13,1,"36,81","47,47","45,6",26,0,"617,11","138,58","Копенгаген, Дания"
P.O. Box 555,5,Мясо/Птица,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,1,(307) 555-6525,29.06.2004,10369,(307) 555-4680,82520,56,Свинина,3,WY,26,"0,25","57,37",18,15,"34,17","39,42",38,21,10,"709,56","94,5","Ландер, США"
P.O. Box 555,6,Морепродукты,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,1,(307) 555-6525,29.06.2004,10369,(307) 555-4680,82520,29,Креветки,3,WY,12,0,"57,37",20,1,"100,74","117,78","123,79",0,0,"2355,6","340,8","Ландер, США"
1 rue Alsace-Lorraine,8,Приправы,Тулуза,Магнит,ТрансСервис,Louise Davu,Франция,4,61.77.61.11,30.06.2004,10371,61.77.61.10,31000,36,Тмин,1,,17,"0,2","66,09",6,20,"6,45","7,77",8,112,0,"46,62","7,92","Тулуза, Франция"
"184, chauss?e de Tournai",3,Кондитерские изделия,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,6,20.16.10.17,03.07.2004,10375,20.16.10.16,59000,54,Десерт медовый,1,,25,0,"70,91",10,24,"30,27","32,95","35,45",21,0,"329,5","26,8","Лилль, Франция"
"184, chauss?e de Tournai",7,Крупы,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,6,20.16.10.17,03.07.2004,10375,20.16.10.16,59000,14,Пшенная крупа,1,,6,0,"70,91",15,21,"20,36","21,59","23,25",35,0,"323,85","18,45","Лилль, Франция"
Maubelstr. 90,2,Овощи,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,3,,04.07.2004,10323,0555-09876,14776,15,Капуста,2,,6,0,"73,01",5,30,"4,98","6,12","6,5",39,0,"30,6","5,7","Бранденбург, Германия"
Maubelstr. 90,2,Овощи,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,3,,04.07.2004,10323,0555-09876,14776,39,Кукуруза,2,,18,0,"73,01",4,3,"48,17","61,21",60,69,0,"244,84","52,16","Бранденбург, Германия"
Maubelstr. 90,3,Кондитерские изделия,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,3,,04.07.2004,10323,0555-09876,14776,25,Пирожное Медовик,2,,11,0,"73,01",4,1,"10,85","14,34",14,76,0,"57,36","13,96","Бранденбург, Германия"
2732 Baker Blvd.,2,Овощи,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,1,,06.07.2004,10377,(503) 555-7555,97403,39,Кукуруза,3,OR,18,"0,15","49,19",20,3,"48,17","59,78",60,69,0,"1195,6","232,2","Юджин, США"
2732 Baker Blvd.,7,Крупы,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,1,,06.07.2004,10377,(503) 555-7555,97403,28,Рис,3,OR,12,"0,15","49,19",20,1,"36,81","41,18","45,6",26,0,"823,6","87,4","Юджин, США"
35 King George,1,Фрукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,3,(171) 555-3373,08.07.2004,10327,(171) 555-0297,WX1 6LT,2,Апельсин,2,,1,"0,2","65,53",25,10,"16,17","19,22",19,17,40,"480,5","76,25","Лондон, Англия"
35 King George,1,Фрукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,3,(171) 555-3373,08.07.2004,10327,(171) 555-0297,WX1 6LT,11,Киви,2,,5,"0,2","65,53",50,25,"21,1","29,1",28,22,30,1455,400,"Лондон, Англия"
8 Johnstown Road,3,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,3,########,08.07.2004,10350,2 967 542,125 80,69,Булка-улитка,2,,15,"0,1","67,66",18,100,"1,65","1,83",2,26,0,"32,94","3,24","Корк, Ирландия"
8 Johnstown Road,4,Молочные продукты,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,3,########,08.07.2004,10350,2 967 542,125 80,50,Творог 1%,2,,23,"0,1","67,66",15,1,"13,57","16,49","16,25",65,0,"247,35","43,8","Корк, Ирландия"
35 King George,8,Приправы,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,3,(171) 555-3373,08.07.2004,10327,(171) 555-0297,WX1 6LT,30,Прованские травы,2,,13,"0,2","65,53",35,1,"22,71","24,02","25,89",10,0,"840,7","45,85","Лондон, Англия"
35 King George,8,Приправы,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,3,(171) 555-3373,08.07.2004,10327,(171) 555-0297,WX1 6LT,58,Бадьян,2,,27,"0,2","65,53",30,20,"37,17","43,97","48,25",62,0,"1319,1",204,"Лондон, Англия"
8 Johnstown Road,3,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2,########,09.07.2004,10271,2 967 542,125 80,33,Десер Фруктовый,2,,15,0,"62,31",24,25,"20,2","24,06","25,5",112,0,"577,44","92,64","Корк, Ирландия"
Berguvsv?gen 8,1,Фрукты,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,3,0921-12 34 67,11.07.2004,10280,0921-12 34 65,S-958 22,24,Абрикос,2,,10,0,"38,06",12,100,"3,9","4,25","4,5",20,0,51,"4,2","Лулеа, Швеция"
Berguvsv?gen 8,1,Фрукты,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,3,0921-12 34 67,11.07.2004,10280,0921-12 34 65,S-958 22,75,Хурма,2,,12,0,"38,06",30,1,"6,61","7,21","7,75",125,0,"216,3",18,"Лулеа, Швеция"
Berguvsv?gen 8,3,Кондитерские изделия,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,3,0921-12 34 67,11.07.2004,10280,0921-12 34 65,S-958 22,55,Десерт низкокалорийный,2,,25,0,"38,06",20,20,"33,18","42,47",39,115,0,"849,4","185,8","Лулеа, Швеция"
P.O. Box 555,2,Овощи,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,1,(307) 555-6525,12.07.2004,10329,(307) 555-4680,82520,38,Баклажан,3,WY,18,"0,05","75,98",20,4,"62,38","77,36","80,5",17,0,"1547,2","299,6","Ландер, США"
P.O. Box 555,3,Кондитерские изделия,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,1,(307) 555-6525,12.07.2004,10329,(307) 555-4680,82520,19,Печенье сахарное,3,WY,8,"0,05","75,98",10,1,"7,4","8,5","9,2",25,0,85,11,"Ландер, США"
P.O. Box 555,5,Мясо/Птица,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,1,(307) 555-6525,12.07.2004,10329,(307) 555-4680,82520,56,Свинина,3,WY,26,"0,05","75,98",12,15,"34,17","40,13",38,21,10,"481,56","71,52","Ландер, США"
P.O. Box 555,8,Приправы,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,1,(307) 555-6525,12.07.2004,10329,(307) 555-4680,82520,30,Прованские травы,3,WY,13,"0,05","75,98",8,1,"22,71","24,61","25,89",10,0,"196,88","15,2","Ландер, США"
