address,category,city,customer_company,shippers_company,customer,country,order_date,order_id,phone,postal_code,product,state_province,discount,freight,quantity,qunatity_per_unit,unit_cost,unit_price,unit_price_products,units_in_stock,unit_on_order,sales,profit,city_and_country
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Канада,2004-01-15,10357,(9) 331-6954,3508,Сладкий снек,,0.2,65.97,8,53,4.44,4.86,5.0,19,0,38.88,3.36,"Баргусимето, Канада"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Приправы,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Мексика,2004-01-15,10357,(9) 331-6954,3508,Кориандр,,0.2,65.97,30,20,6.2,6.51,7.0,31,0,195.3,9.3,"Баргусимето, Мексика"
Taucherstra?e 10,Кондитерские изделия,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Норвегия,2004-01-17,10286,0372-035188,1307,Шоколад Молочное Чудо,,0.0,42.17,40,30,25.39,30.28,29.3,17,0,1211.2,195.6,"Кюневальд, Норвегия"
Taucherstra?e 10,Молочные продукты,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Польша,2004-01-17,10286,0372-035188,1307,Творожный сырок,,0.0,42.17,100,14,5.17,6.06,6.0,20,0,606.0,89.0,"Кюневальд, Польша"
"Av. Copacabana, 267",Кондитерские изделия,Рио де Жанейро,Минидисконт,ТрансАвтоГруз,Thom? Lindao,Португалия,2004-01-18,10287,(21) 555-3412,02389-890,Печенье сдобное,,0.15,70.97,40,24,7.33,8.88,9.45,29,0,355.2,62.0,"Рио де Жанейро, Португалия"
"Av. Copacabana, 267",Молочные продукты,Рио де Жанейро,Минидисконт,ТрансАвтоГруз,Thom? Lindao,США,2004-01-18,10287,(21) 555-3412,02389-890,Кефир,,0.0,70.97,20,12,6.76,7.67,8.0,111,0,153.4,18.2,"Рио де Жанейро, США"
"Av. Copacabana, 267",Приправы,Рио де Жанейро,Минидисконт,ТрансАвтоГруз,Thom? Lindao,Финляндия,2004-01-18,10287,(21) 555-3412,02389-890,Укроп,,0.15,70.97,15,40,9.07,12.23,12.0,95,0,183.45,47.4,"Рио де Жанейро, Финляндия"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Фрукты,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Франция,2004-02-02,10296,(9) 331-6954,3508,Киви,,0.0,22.4,12,25,21.1,26.62,28.0,22,30,319.44,66.24,"Баргусимето, Франция"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Швейцария,2004-02-02,10296,(9) 331-6954,3508,Печенье сдобное,,0.0,22.4,30,24,7.33,9.36,9.45,29,0,280.8,60.9,"Баргусимето, Швейцария"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Швеция,2004-02-02,10296,(9) 331-6954,3508,Булка-улитка,,0.0,22.4,15,100,1.65,1.89,2.0,26,0,28.35,3.6,"Баргусимето, Швеция"
5? Ave. Los Palos Grandes,Овощи,Каракас,Венесуэльские продукты,ТрансАвтоГруз,Antonio Palmer Amer,Венесуэла,2004-02-25,10268,(2) 283-2951,1081,Перец болгарский,,0.0,69.28,4,30,8.96,12.64,11.8,14,0,50.56,14.72,"Каракас, Венесуэла"
5? Ave. Los Palos Grandes,Морепродукты,Каракас,Венесуэльские продукты,ТрансАвтоГруз,Antonio Palmer Amer,Венесуэла,2004-02-25,10268,(2) 283-2951,1081,Креветки,,0.0,69.28,10,1,100.74,117.3,123.79,0,0,1173.0,165.6,"Каракас, Венесуэла"
Berguvsv?gen 8,Овощи,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2004-03-09,10278,0921-12 34 65,S-958 22,Кабачок,,0.0,50.46,8,68,15.9,21.02,19.9,24,0,168.16,40.96,"Лулеа, Швеция"
Berguvsv?gen 8,Овощи,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2004-03-09,10278,0921-12 34 65,S-958 22,Батат,,0.0,50.46,16,7,67.17,80.78,75.45,27,0,1292.48,217.76,"Лулеа, Швеция"
Berguvsv?gen 8,Кондитерские изделия,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2004-03-09,10278,0921-12 34 65,S-958 22,Чупа-Чупс,,0.0,50.46,15,105,6.69,8.57,8.5,79,0,128.55,28.2,"Лулеа, Швеция"
Berguvsv?gen 8,Приправы,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2004-03-09,10278,0921-12 34 65,S-958 22,Лавровый лист,,0.0,50.46,25,100,0.89,1.07,1.1,101,0,26.75,4.5,"Лулеа, Швеция"
"Rua da Panificadora, 12",Овощи,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2004-03-24,10291,(21) 555-4252,02389-673,Батат,,0.1,21.08,24,7,67.17,82.68,75.45,27,0,1984.32,372.24,"Рио де Жанейро, Бразилия"
"Rua da Panificadora, 12",Морепродукты,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2004-03-24,10291,(21) 555-4252,02389-673,Мидии,,0.1,21.08,2,10,82.74,106.56,99.9,20,0,213.12,47.64,"Рио де Жанейро, Бразилия"
"Rua da Panificadora, 12",Приправы,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2004-03-24,10291,(21) 555-4252,02389-673,Корица,,0.1,21.08,20,25,21.11,23.03,25.0,24,0,460.6,38.4,"Рио де Жанейро, Бразилия"
8 Johnstown Road,Фрукты,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-04-02,10298,2 967 542,125 80,Апельсин,,0.0,78.52,40,10,16.17,17.54,19.0,17,40,701.6,54.8,"Корк, Ирландия"
8 Johnstown Road,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-04-02,10298,2 967 542,125 80,Чупа-Чупс,,0.25,78.52,30,105,6.69,9.15,8.5,79,0,274.5,73.8,"Корк, Ирландия"
8 Johnstown Road,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-04-02,10298,2 967 542,125 80,Шоколад Молочное Чудо,,0.0,78.52,15,30,25.39,28.0,29.3,17,0,420.0,39.15,"Корк, Ирландия"
8 Johnstown Road,Приправы,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-04-02,10298,2 967 542,125 80,Тмин,,0.25,78.52,40,20,6.45,7.34,8.0,112,0,293.6,35.6,"Корк, Ирландия"
Via Ludovico il Moro 22,Овощи,Бергамо,Караван,ТрансСервис,Luca Brassi,Италия,2004-04-06,10300,035-640230,24100,Цветная капуста,,0.0,71.44,30,15,16.58,19.89,19.0,4,100,596.7,99.3,"Бергамо, Италия"
Via Ludovico il Moro 22,Кондитерские изделия,Бергамо,Караван,ТрансСервис,Luca Brassi,Италия,2004-04-06,10300,035-640230,24100,Сладкий батончик,,0.0,71.44,20,1,9.67,11.27,12.5,6,10,225.4,32.0,"Бергамо, Италия"
Avda. Azteca 123,Приправы,Мехико,Дон Педро,АвтоЛогистика,Peloto Gomez,Мексика,2004-05-05,10276,(5) 555-2933,5033,Кориандр,,0.0,22.95,15,20,6.2,6.92,7.0,31,0,103.8,10.8,"Мехико, Мексика"
Avda. Azteca 123,Приправы,Мехико,Дон Педро,АвтоЛогистика,Peloto Gomez,Мексика,2004-05-05,10276,(5) 555-2933,5033,Корица,,0.0,22.95,10,25,21.11,27.45,25.0,24,0,274.5,63.4,"Мехико, Мексика"
Obere Str. 57,Морепродукты,Берлин,Копейка,ТрансАвтоГруз,Albert von Einstein,Германия,2004-05-22,10338,030-0074321,12209,Кальмары,,0.0,52.33,20,36,19.35,26.24,25.0,0,0,524.8,137.8,"Берлин, Германия"
Obere Str. 57,Приправы,Берлин,Копейка,ТрансАвтоГруз,Albert von Einstein,Германия,2004-05-22,10338,030-0074321,12209,Прованские травы,,0.0,52.33,15,1,22.71,25.4,25.89,10,0,381.0,40.35,"Берлин, Германия"
43 rue St. Laurent,Овощи,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,2004-05-25,10339,(514) 555-8054,H1J 1C3,Огурец,Quebec,0.0,58.76,10,15,19.34,21.32,22.0,53,0,213.2,19.8,"Монреаль, Канада"
43 rue St. Laurent,Кондитерские изделия,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,2004-05-25,10339,(514) 555-8054,H1J 1C3,Шоколад Молочное Чудо,Quebec,0.0,58.76,28,30,25.39,30.61,29.3,17,0,857.08,146.16,"Монреаль, Канада"
43 rue St. Laurent,Морепродукты,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,2004-05-25,10339,(514) 555-8054,H1J 1C3,Кальмары,Quebec,0.05,58.76,70,36,19.35,24.46,25.0,0,0,1712.2,357.7,"Монреаль, Канада"
"Suite 3B""",Овощи,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2004-05-29,10344,(206) 555-4112,98128,Огурец,Washington,0.0,22.69,35,15,19.34,20.78,22.0,53,0,727.3,50.4,"Сиэттл, США"
"Suite 3B""",Овощи,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2004-05-29,10344,(206) 555-4112,98128,Картофель Сорт 1,Washington,0.25,22.69,70,20,16.14,19.4,20.0,6,0,1358.0,228.2,"Сиэттл, США"
"Rua Or?s, 92",Фрукты,Сан Паоло,Овощной базар,ТрансАвтоГруз,Romario do Sauza,Бразилия,2004-06-03,10347,(11) 555-9857,05442-030,Хурма,,0.15,28.29,6,1,6.61,7.75,7.75,125,0,46.5,6.84,"Сан Паоло, Бразилия"
"Rua Or?s, 92",Овощи,Сан Паоло,Овощной базар,ТрансАвтоГруз,Romario do Sauza,Бразилия,2004-06-03,10347,(11) 555-9857,05442-030,Кукуруза,,0.15,28.29,50,3,48.17,58.72,60.0,69,0,2936.0,527.5,"Сан Паоло, Бразилия"
"Rua Or?s, 92",Кондитерские изделия,Сан Паоло,Овощной базар,ТрансАвтоГруз,Romario do Sauza,Бразилия,2004-06-03,10347,(11) 555-9857,05442-030,Пирожное Медовик,,0.0,28.29,10,1,10.85,13.21,14.0,76,0,132.1,23.6,"Сан Паоло, Бразилия"
"Rua Or?s, 92",Приправы,Сан Паоло,Овощной базар,ТрансАвтоГруз,Romario do Sauza,Бразилия,2004-06-03,10347,(11) 555-9857,05442-030,Имбирь,,0.0,28.29,4,1,16.34,17.0,18.4,123,0,68.0,2.64,"Сан Паоло, Бразилия"
1900 Oak St.,Овощи,Ванкувер,Милелниум,АвтоЛогистика,Joe Barry,Канада,2004-06-08,10351,(604) 555-3392,V3F 2K1,Чеснок,British Columbia,0.05,65.12,10,40,8.68,10.08,10.05,76,0,100.8,14.0,"Ванкувер, Канада"
1900 Oak St.,Овощи,Ванкувер,Милелниум,АвтоЛогистика,Joe Barry,Канада,2004-06-08,10351,(604) 555-3392,V3F 2K1,Баклажан,British Columbia,0.05,65.12,20,4,62.38,75.04,80.5,17,0,1500.8,253.2,"Ванкувер, Канада"
1900 Oak St.,Овощи,Ванкувер,Милелниум,АвтоЛогистика,Joe Barry,Канада,2004-06-08,10351,(604) 555-3392,V3F 2K1,Батат,British Columbia,0.05,65.12,77,7,67.17,73.74,75.45,27,0,5677.98,505.89,"Ванкувер, Канада"
1900 Oak St.,Приправы,Ванкувер,Милелниум,АвтоЛогистика,Joe Barry,Канада,2004-06-08,10351,(604) 555-3392,V3F 2K1,Зира,British Columbia,0.0,65.12,13,1,7.28,10.42,9.65,85,0,135.46,40.82,"Ванкувер, Канада"
Magazinweg 7,Кондитерские изделия,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,2004-06-22,10362,069-0245984,60528,Пирожное Медовик,,0.0,40.91,50,1,10.85,15.04,14.0,76,0,752.0,209.5,"Франкфурт, Германия"
Magazinweg 7,Кондитерские изделия,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,2004-06-22,10362,069-0245984,60528,Десерт медовый,,0.0,40.91,24,24,30.27,37.07,35.45,21,0,889.68,163.2,"Франкфурт, Германия"
Magazinweg 7,Морепродукты,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,2004-06-22,10362,069-0245984,60528,Мидии,,0.0,40.91,20,10,82.74,109.79,99.9,20,0,2195.8,541.0,"Франкфурт, Германия"
35 King George,Фрукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-06-23,10364,(171) 555-0297,WX1 6LT,Персик,,0.0,33.65,5,10,26.49,29.73,30.5,26,0,148.65,16.2,"Лондон, Англия"
35 King George,Кондитерские изделия,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-06-23,10364,(171) 555-0297,WX1 6LT,Булка-улитка,,0.0,33.65,30,100,1.65,2.05,2.0,26,0,61.5,12.0,"Лондон, Англия"
C/ Ritual de lo Habitual 2312,Фрукты,Мехико,Перекресток,ТрансАвтоГруз,Sancho Panza,Мексика,2004-06-24,10365,(5) 555-3932,5023,Киви,,0.0,35.04,24,25,21.1,29.48,28.0,22,30,707.52,201.12,"Мехико, Мексика"
"Rambla de Catalu?a, 23",Овощи,Барселона,Магазин распродаж,ТрансСервис,Jusep del pep,Испания,2004-06-25,10366,(93) 203 4560,8022,Чеснок,,0.0,23.84,5,40,8.68,9.12,10.05,76,0,45.6,2.2,"Барселона, Испания"
"Rambla de Catalu?a, 23",Овощи,Барселона,Магазин распродаж,ТрансСервис,Jusep del pep,Испания,2004-06-25,10366,(93) 203 4560,8022,Свекла,,0.0,23.84,5,1,10.95,12.71,13.0,32,0,63.55,8.8,"Барселона, Испания"
Vinb?ltet 34,Кондитерские изделия,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,2004-06-26,10368,31 12 34 56,1734,Пирожное Наполеон,,0.1,67.63,5,1,8.78,10.53,10.0,3,40,52.65,8.75,"Копенгаген, Дания"
Vinb?ltet 34,Мясо/Птица,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,2004-06-26,10368,31 12 34 56,1734,Фарш говяжий,,0.1,67.63,35,1,29.25,32.34,33.25,22,80,1131.9,108.15,"Копенгаген, Дания"
Vinb?ltet 34,Мясо/Птица,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,2004-06-26,10368,31 12 34 56,1734,Фарш свиной,,0.0,67.63,25,20,16.14,18.05,19.5,36,0,451.25,47.75,"Копенгаген, Дания"
Vinb?ltet 34,Крупы,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,2004-06-26,10368,31 12 34 56,1734,Рис,,0.1,67.63,13,1,36.81,47.47,45.6,26,0,617.11,138.58,"Копенгаген, Дания"
P.O. Box 555,Мясо/Птица,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,2004-06-29,10369,(307) 555-4680,82520,Свинина,Wyoming,0.25,57.37,18,15,34.17,39.42,38.0,21,10,709.56,94.5,"Ландер, США"
P.O. Box 555,Морепродукты,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,2004-06-29,10369,(307) 555-4680,82520,Креветки,Wyoming,0.0,57.37,20,1,100.74,117.78,123.79,0,0,2355.6,340.8,"Ландер, США"
1 rue Alsace-Lorraine,Приправы,Тулуза,Магнит,ТрансСервис,Louise Davu,Франция,2004-06-30,10371,61.77.61.10,31000,Тмин,,0.2,66.09,6,20,6.45,7.77,8.0,112,0,46.62,7.92,"Тулуза, Франция"
"184, chauss?e de Tournai",Кондитерские изделия,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,2004-07-03,10375,20.16.10.16,59000,Десерт медовый,,0.0,70.91,10,24,30.27,32.95,35.45,21,0,329.5,26.8,"Лилль, Франция"
"184, chauss?e de Tournai",Крупы,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,2004-07-03,10375,20.16.10.16,59000,Пшенная крупа,,0.0,70.91,15,21,20.36,21.59,23.25,35,0,323.85,18.45,"Лилль, Франция"
Maubelstr. 90,Овощи,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2004-07-04,10323,0555-09876,14776,Капуста,,0.0,73.01,5,30,4.98,6.12,6.5,39,0,30.6,5.7,"Бранденбург, Германия"
Maubelstr. 90,Овощи,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2004-07-04,10323,0555-09876,14776,Кукуруза,,0.0,73.01,4,3,48.17,61.21,60.0,69,0,244.84,52.16,"Бранденбург, Германия"
Maubelstr. 90,Кондитерские изделия,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2004-07-04,10323,0555-09876,14776,Пирожное Медовик,,0.0,73.01,4,1,10.85,14.34,14.0,76,0,57.36,13.96,"Бранденбург, Германия"
2732 Baker Blvd.,Овощи,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2004-07-06,10377,(503) 555-7555,97403,Кукуруза,Oregon,0.15,49.19,20,3,48.17,59.78,60.0,69,0,1195.6,232.2,"Юджин, США"
2732 Baker Blvd.,Крупы,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2004-07-06,10377,(503) 555-7555,97403,Рис,Oregon,0.15,49.19,20,1,36.81,41.18,45.6,26,0,823.6,87.4,"Юджин, США"
35 King George,Фрукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-08,10327,(171) 555-0297,WX1 6LT,Апельсин,,0.2,65.53,25,10,16.17,19.22,19.0,17,40,480.5,76.25,"Лондон, Англия"
35 King George,Фрукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-08,10327,(171) 555-0297,WX1 6LT,Киви,,0.2,65.53,50,25,21.1,29.1,28.0,22,30,1455.0,400.0,"Лондон, Англия"
8 Johnstown Road,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-07-08,10350,2 967 542,125 80,Булка-улитка,,0.1,67.66,18,100,1.65,1.83,2.0,26,0,32.94,3.24,"Корк, Ирландия"
8 Johnstown Road,Молочные продукты,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-07-08,10350,2 967 542,125 80,Творог 1%,,0.1,67.66,15,1,13.57,16.49,16.25,65,0,247.35,43.8,"Корк, Ирландия"
35 King George,Приправы,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-08,10327,(171) 555-0297,WX1 6LT,Прованские травы,,0.2,65.53,35,1,22.71,24.02,25.89,10,0,840.7,45.85,"Лондон, Англия"
35 King George,Приправы,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-08,10327,(171) 555-0297,WX1 6LT,Бадьян,,0.2,65.53,30,20,37.17,43.97,48.25,62,0,1319.1,204.0,"Лондон, Англия"
8 Johnstown Road,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-07-09,10271,2 967 542,125 80,Десер Фруктовый,,0.0,62.31,24,25,20.2,24.06,25.5,112,0,577.44,92.64,"Корк, Ирландия"
Berguvsv?gen 8,Фрукты,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2004-07-11,10280,0921-12 34 65,S-958 22,Абрикос,,0.0,38.06,12,100,3.9,4.25,4.5,20,0,51.0,4.2,"Лулеа, Швеция"
Berguvsv?gen 8,Фрукты,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2004-07-11,10280,0921-12 34 65,S-958 22,Хурма,,0.0,38.06,30,1,6.61,7.21,7.75,125,0,216.3,18.0,"Лулеа, Швеция"
Berguvsv?gen 8,Кондитерские изделия,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2004-07-11,10280,0921-12 34 65,S-958 22,Десерт низкокалорийный,,0.0,38.06,20,20,33.18,42.47,39.0,115,0,849.4,185.8,"Лулеа, Швеция"
P.O. Box 555,Овощи,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,2004-07-12,10329,(307) 555-4680,82520,Баклажан,Wyoming,0.05,75.98,20,4,62.38,77.36,80.5,17,0,1547.2,299.6,"Ландер, США"
P.O. Box 555,Кондитерские изделия,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,2004-07-12,10329,(307) 555-4680,82520,Печенье сахарное,Wyoming,0.05,75.98,10,1,7.4,8.5,9.2,25,0,85.0,11.0,"Ландер, США"
P.O. Box 555,Мясо/Птица,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,2004-07-12,10329,(307) 555-4680,82520,Свинина,Wyoming,0.05,75.98,12,15,34.17,40.13,38.0,21,10,481.56,71.52,"Ландер, США"
P.O. Box 555,Приправы,Ландер,Макарена,АвтоЛогистика,Paul Smith,США,2004-07-12,10329,(307) 555-4680,82520,Прованские травы,Wyoming,0.05,75.98,8,1,22.71,24.61,25.89,10,0,196.88,15.2,"Ландер, США"
"Rua da Panificadora, 12",Овощи,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2004-07-12,10379,(21) 555-4252,02389-673,Чеснок,,0.1,62.83,20,40,8.68,10.0,10.05,76,0,200.0,26.4,"Рио де Жанейро, Бразилия"
"Rua da Panificadora, 12",Овощи,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2004-07-12,10379,(21) 555-4252,02389-673,Кабачок,,0.1,62.83,16,68,15.9,20.35,19.9,24,0,325.6,71.2,"Рио де Жанейро, Бразилия"
"Rua da Panificadora, 12",Приправы,Рио де Жанейро,Копакобана,ТрансАвтоГруз,Giovanni Santhos,Бразилия,2004-07-12,10379,(21) 555-4252,02389-673,Зира,,0.1,62.83,8,1,7.28,9.33,9.65,85,0,74.64,16.4,"Рио де Жанейро, Бразилия"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Крупы,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Венесуэла,2004-07-19,10381,(9) 331-6954,3508,Овсянная крупа,,0.0,45.81,14,30,24.39,30.59,30.0,4,20,428.26,86.8,"Баргусимето, Венесуэла"
35 King George,Фрукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-20,10382,(171) 555-0297,WX1 6LT,Яблоко,,0.0,72.13,32,100,4.72,5.62,6.0,0,0,179.84,28.8,"Лондон, Англия"
35 King George,Кондитерские изделия,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-20,10382,(171) 555-0297,WX1 6LT,Десер Фруктовый,,0.0,72.13,60,25,20.2,27.49,25.5,112,0,1649.4,437.4,"Лондон, Англия"
35 King George,Морепродукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-20,10382,(171) 555-0297,WX1 6LT,Креветки,,0.0,72.13,14,1,100.74,129.38,123.79,0,0,1811.32,400.96,"Лондон, Англия"
35 King George,Крупы,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-20,10382,(171) 555-0297,WX1 6LT,Овсянная крупа,,0.0,72.13,50,30,24.39,27.21,30.0,4,20,1360.5,141.0,"Лондон, Англия"
35 King George,Приправы,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-07-20,10382,(171) 555-0297,WX1 6LT,Карри,,0.0,72.13,9,18,22.09,26.78,25.5,42,0,241.02,42.21,"Лондон, Англия"
Berguvsv?gen 8,Кондитерские изделия,Лулеа,Магазин для всей семьи,ТрансАвтоГруз,Urra Gurra Aktersnurra,Швеция,2004-07-27,10384,0921-12 34 65,S-958 22,Блинчики с начинкой,,0.0,66.07,28,1,64.49,86.51,81.0,40,0,2422.28,616.56,"Лулеа, Швеция"
